id:400 172 get(50) - 131 - 131
size=105
0 - Note{key=50, value=131, times=2, pre=null, next=27}
94 - Note{key=100, value=136, times=2, pre=102, next=129}
95 - Note{key=129, value=291, times=2, pre=100, next=71}
96 - Note{key=71, value=22, times=2, pre=129, next=127}
97 - Note{key=127, value=35, times=1, pre=71, next=55}
98 - Note{key=55, value=90, times=1, pre=127, next=135}
99 - Note{key=135, value=212, times=0, pre=55, next=19}
100 - Note{key=19, value=250, times=1, pre=135, next=41}
101 - Note{key=41, value=71, times=0, pre=19, next=107}
102 - Note{key=107, value=236, times=1, pre=41, next=60}
103 - Note{key=60, value=160, times=2, pre=107, next=29}
104 - Note{key=29, value=304, times=1, pre=60, next=null}

